property_scrubbed	amount
Trump Restaurants LLC	2000.0
Trump Hotel D.C	1990.68
Trump Golf Club D.C	1976.52
Trump Golf Club Palm Beach	1974.16
Trump Hotel NY	1936.98
Trump Hotel NY	1936.98
Trump Golf Club Miami	1935.83
Trump Hotel Panama	1926.5
Trump Hotel D.C	1924.18
Trump Hotel D.C.	1850.0
Trump Hotel NY	1844.2
Trump Hotel D.C	1820.56
Trump Hotel D.C	1820.56
Trump Restaurants LLC	1795.63
BLT Prime D.C	1790.59
Trump Golf Club Palm Beach	1785.59
Trump Hotel D.C	1755.18
BLT Prime D.C	1744.3
Trump Hotel D.C	1723.23
Trump Golf Club Palm Beach	1717.53
Trump Payroll Corp	1713.32
Trump Hotel D.C.	1696.68
Trump Golf Club Palm Beach	1687.32
Trump Hotel D.C	1659.1
Trump Hotel D.C	1648.0
Trump Hotel D.C.	1635.1
Trump Hotel D.C	1591.56
Trump Hotel D.C	1587.46
Trump Hotel Panama	1580.0
Trump Hotel Panama	1580.0
Trump Golf Club Palm Beach	1560.0
Trump Hotel D.C	1559.58
Trump Hotel NY	1558.24
Trump Hotel D.C	1525.46
Trump Hotel NY	1506.76
Trump Restaurants LLC	1483.0
Trump Golf Club Miami	1473.4
Trump Golf Club Palm Beach	1469.0
Trump Golf Club Palm Beach	1469.0
Trump Golf Club Palm Beach	1469.0
Trump Hotel Panama	1422.0
Trump Hotel D.C	1416.26
Trump Hotel D.C	1394.62
BLT Prime D.C	1391.05
Trump Hotel NY	1380.54
Trump Hotel D.C	1376.63
Trump Hotel D.C	1356.84
Trump Virginia Acquisitions, LLC	1343.0
Trump Virginia Acquisitions, LLC	1343.0
Trump Cafe NY	1333.72
Trump Hotel Las Vegas	1313.39
Trump Ice LLC	1311.6
Trump Hotel D.C.	1308.36
Trump Hotel NY	1303.46
Trump Hotel D.C	1298.83
Trump Hotel Las Vegas	1291.32
Eric Trump Wine Manufacturing, LLC	1287.92
Trump Hotel NY	1278.13
BLT Prime D.C	1268.1
BLT Prime D.C	1259.3
Trump Hotel D.C	1251.32
Trump Hotel NY	1242.76
Trump Hotel NY	1242.76
Trump Hotel D.C	1238.35
BLT Prime D.C	1223.0
Trump Tower Commercial LLC	1216.27
Trump Hotel D.C	1211.1
Trump Hotel D.C	1203.8
Trump Hotel NY	1202.25
Trump Hotel NY	1202.25
Trump Hotel NY	1202.25
Trump Hotel NY	1202.25
Trump Golf Club Miami	1168.54
Trump Hotel D.C.	1164.36
Trump Restaurants LLC	1162.16
Trump Hotel Las Vegas	1152.53
Trump Hotel Chicago	1152.36
Trump Hotel D.C	1145.0
Trump Hotel D.C	1133.56
Trump Hotel D.C	1130.36
Trump Hotel NY	1127.03
Trump Hotel NY	1127.03
Trump Hotel Panama	1123.33
Trump Golf Club Miami	1120.0
Trump Hotel Chicago	1113.4
Trump Hotel D.C	1104.86
Trump Hotel Chicago	1102.0
BLT Prime D.C	1099.8
Trump Golf Club Palm Beach	1092.0
Trump Restaurants LLC	1088.75
Trump Golf Club Palm Beach	1064.0
Trump Restaurants LLC	1058.27
Eric Trump Wine Manufacturing, LLC	1053.0
Trump Hotel D.C.	1051.8
Trump Hotel D.C.	1041.96
Trump Tower Commercial LLC	1029.77
Trump Hotel NY	1021.43
Trump Hotel NY	1021.43
Trump Hotel NY	1020.8
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Trump Restaurants LLC	1000.0
Other	1000.0
Trump Soho NY	991.09
Trump Golf Club Miami	984.0
Trump Golf Club Miami	984.0
Trump Virginia Acquisitions, LLC	983.68
BLT Prime D.C	974.02
Trump Hotel D.C	972.98
Trump Hotel D.C	964.64
Trump Hotel Las Vegas	959.95
Trump Hotel NY	956.26
Trump Hotel D.C	956.08
Trump Hotel D.C	954.0
Trump Golf Club Miami	954.0
Trump Golf Club Miami	954.0
Trump Restaurants LLC	952.66
Trump Hotel Panama	948.0
Trump Ice LLC	940.5
Trump Hotel Las Vegas	940.24
Trump Hotel Chicago	937.3
Trump Hotel Las Vegas	934.39
Trump Hotel Las Vegas	927.37
Trump Hotel Las Vegas	927.37
Trump Hotel Las Vegas	927.37
Trump Hotel Chicago	925.11
Trump Hotel D.C	922.87
Trump Hotel Las Vegas	922.05
Trump Soho NY	918.02
Trump Hotel D.C	910.28
Trump Hotel D.C	910.28
Trump Hotel D.C	906.92
Trump Hotel D.C.	905.76
Trump Hotel D.C	904.56
Trump Hotel Las Vegas	899.36
Trump Hotel D.C	874.4
Trump Hotel D.C	873.5
Other	868.0
BLT Prime D.C	857.2
Trump Golf Club Miami	854.28
Trump Golf Club Miami	854.28
Trump Soho NY	851.13
Trump Hotel D.C	849.14
Trump Hotel D.C	848.82
Trump Golf Club D.C	846.01
Trump Hotel D.C.	831.27
Trump Hotel D.C	831.15
Other	829.63
Trump Ice LLC	828.26
Trump Ice LLC	828.26
Trump Ice LLC	828.26
Trump Hotel NY	817.15
Trump Soho NY	814.24
Trump Soho NY	810.24
Trump Hotel D.C	807.22
Trump Hotel D.C.	806.5
Trump Golf Club Miami	803.5
Trump Golf Club Miami	803.5
Trump Hotel NY	801.5
Trump Hotel NY	801.5
Trump Hotel D.C	797.86
Trump Hotel D.C	795.78
Trump Golf Club Miami	795.0
Trump Golf Club Miami	795.0
Trump Hotel D.C.	792.12
Trump Hotel D.C	790.06
Trump Hotel D.C.	789.82
Trump Hotel D.C	789.82
Trump Soho NY	789.37
BLT Prime D.C	785.0
BLT Prime D.C	784.4
Trump Hotel Las Vegas	776.07
Trump Soho NY	772.68
Trump Hotel D.C	759.38
Trump Hotel D.C.	751.2
Trump Hotel Chicago	750.0
BLT Prime D.C	748.3
Trump Hotel Las Vegas	742.65
Trump Hotel Las Vegas	742.65
Trump Hotel Las Vegas	733.84
Trump Hotel D.C	731.36
Trump Golf Club Miami	718.68
BLT Prime D.C	714.9
Mar-a-Lago Club LLC	713.07
BLT Prime D.C	708.5
Trump Restaurants LLC	702.24
Trump Cafe NY	701.9
Trump Hotel D.C	701.25
Trump Hotel D.C	700.7
Trump Hotel Las Vegas	699.51
Trump Hotel D.C	696.64
Trump Hotel D.C	688.6
Trump Soho NY	686.89
Trump Hotel D.C	686.5
Trump Hotel D.C	686.5
Trump Hotel D.C	686.33
Trump Hotel Las Vegas	685.35
Trump Restaurants LLC	683.04
Trump Hotel Las Vegas	674.15
Trump Soho NY	671.11
Trump Hotel D.C	662.99
Trump Hotel D.C	659.4
Trump Hotel Las Vegas	653.92
Trump Hotel Las Vegas	653.5
Trump Hotel Chicago	650.0
Trump Hotel D.C	649.95
BLT Prime D.C	648.9
Trump Hotel Las Vegas	644.43
BLT Prime D.C	639.5
Trump Soho NY	639.19
Trump Golf Club Miami	636.0
Trump Hotel Las Vegas	635.84
Trump Hotel Panama	632.0
Trump Hotel Panama	632.0
Trump Hotel Panama	632.0
Trump Hotel Panama	632.0
Trump Hotel D.C	631.9
Trump Hotel Las Vegas	629.11
Trump Hotel D.C	626.99
Trump Hotel D.C	626.8
BLT Prime D.C	622.5
Trump Hotel NY	606.4
Trump Hotel Las Vegas	601.44
Trump Soho NY	599.63
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	594.12
Trump Hotel Las Vegas	593.65
Trump Golf Club Doonberg	592.13
Trump Hotel D.C	588.21
Trump Hotel D.C	585.65
Trump Hotel Las Vegas	584.33
Trump Hotel Las Vegas	580.52
BLT Prime D.C	574.2
Trump Hotel D.C	572.5
Trump Hotel D.C	566.78
Trump Hotel D.C	566.78
BLT Prime D.C	561.9
Trump Restaurants LLC	538.73
Trump Hotel D.C	535.26
Trump Hotel NY	533.45
Trump Hotel NY	533.45
Trump Hotel D.C	528.32
Trump Golf Club Jupiter	524.7
Trump Golf Club Jupiter	524.7
Trump Hotel D.C	524.2
Trump Hotel NY	516.39
Trump Tower Commercial LLC	514.88
Trump Soho NY	508.03
Mar-a-Lago Club LLC	507.53
BLT Prime D.C	505.7
Trump Hotel Honolulu	502.57
Trump Hotel Honolulu	502.57
BLT Prime D.C	498.6
BLT Prime D.C	491.9
Trump Soho NY	491.07
Trump Golf Club D.C	479.91
BLT Prime D.C	479.3
Trump Hotel D.C	478.12
Trump Golf Club Miami	477.0
Trump Golf Club Miami	477.0
Benjamin Bar & Lounge D.C	475.0
Trump Golf Club Miami	471.55
BLT Prime D.C	468.8
Trump Hotel Las Vegas	461.76
Trump Hotel NY	460.27
Trump Hotel NY	458.77
Trump Hotel NY	458.77
Trump Hotel NY	458.77
Trump Soho NY	455.32
Trump Hotel Las Vegas	454.21
Trump Hotel Chicago	454.13
Trump Hotel D.C	452.28
Trump Hotel Las Vegas	452.28
Trump Hotel D.C	452.28
Trump Hotel D.C	452.28
Trump Hotel D.C	452.28
Trump Hotel D.C	452.28
Trump Hotel D.C	452.28
Other	450.0
Trump Hotel Las Vegas	445.59
Trump Hotel Las Vegas	445.59
Trump Hotel Las Vegas	445.59
Trump Hotel D.C	443.87
BLT Prime D.C	441.0
BLT Prime D.C	437.4
Trump Hotel Chicago	433.91
Trump Hotel NY	430.51
Trump Hotel NY	430.51
Trump Ice LLC	428.53
Trump Ice LLC	428.53
Trump Hotel D.C	426.3
Trump Hotel D.C	418.62
Trump Hotel Las Vegas	417.73
Trump Restaurants LLC	417.55
Trump Hotel Las Vegas	417.0
BLT Prime D.C	415.4
Trump Golf Club Miami	411.55
Trump Hotel NY	409.69
Trump Golf Club Miami	405.38
Trump Restaurants LLC	404.3
Other	402.93
BLT Prime D.C	401.0
Trump Hotel NY	400.75
Trump Hotel NY	400.75
Trump Hotel D.C.	400.4
Trump Golf Club	400.0
Trump Golf Club	400.0
Trump Ice LLC	399.73
BLT Prime D.C	398.66
Trump Restaurants LLC	398.53
Trump Hotel Las Vegas	396.63
Trump Hotel NY	396.06
Trump Hotel D.C	396.0
Trump Hotel D.C	395.03
Trump Hotel D.C	395.03
Trump Hotel D.C	395.03
Trump Hotel D.C	395.03
Trump Hotel D.C	395.03
Trump Hotel D.C	395.03
Trump Hotel D.C	395.0
Trump Hotel D.C	395.0
Trump Hotel D.C	395.0
BLT Prime D.C	394.2
Trump Hotel D.C	393.9
Trump Hotel Las Vegas	393.0
Trump Hotel Las Vegas	393.0
Trump Hotel Las Vegas	393.0
Trump Hotel Las Vegas	393.0
Trump Cafe NY	391.44
BLT Prime D.C	390.0
Trump Soho NY	389.92
Trump Hotel Chicago	384.12
Trump Hotel Panama	383.25
Trump Hotel Chicago	370.98
Trump Hotel Panama	366.8
BLT Prime D.C	365.9
Trump Golf Club Miami	360.47
Trump Hotel Las Vegas	359.55
BLT Prime D.C	358.1
Trump Hotel D.C	354.8
Trump Hotel Chicago	353.68
Trump Hotel D.C.	352.6
Trump Hotel Chicago	352.2
Trump Soho NY	351.39
BLT Prime D.C	350.0
Trump Hotel Panama	348.06
Trump Hotel D.C.	343.25
Trump Hotel D.C	341.12
Trump Soho NY	340.85
Trump Hotel Las Vegas	335.59
BLT Prime D.C	333.3
Trump Hotel D.C	327.6
Trump Hotel Panama	327.1
BLT Prime D.C	324.0
Trump Hotel Panama	321.0
BLT Prime D.C	319.8
Trump Golf Club Miami	318.0
Trump Golf Club Miami	318.0
Trump Hotel Panama	316.8
Trump Hotel Panama	316.8
Trump Hotel Panama	316.8
Trump Hotel Panama	316.0
Trump Hotel Panama	316.0
Trump Hotel Panama	316.0
Trump Hotel Panama	316.0
Trump Hotel Panama	316.0
Eric Trump Wine Manufacturing, LLC	315.9
Trump Hotel D.C	313.24
Trump Hotel D.C	309.6
Trump Hotel Panama	307.31
Trump Golf Club Palm Beach	307.12
Trump Hotel Panama	306.73
Trump Restaurants LLC	306.67
Trump Golf Club Palm Beach	306.61
Trump Hotel Las Vegas	305.49
Trump Hotel D.C	305.1
Trump Hotel D.C	300.0
BLT Prime D.C	298.6
Trump Grill NY	297.59
Trump Golf Club Palm Beach	293.62
Trump Hotel Chicago	290.97
Trump Hotel D.C	290.3
BLT Prime D.C	289.3
Trump Hotel Las Vegas	286.73
BLT Prime D.C	286.4
Trump Hotel Las Vegas	284.7
Trump Soho NY	283.2
Trump Hotel D.C	281.5
BLT Prime D.C	281.4
Trump Cafe NY	280.44
Trump Hotel D.C.	277.09
Trump Hotel D.C.	277.09
Trump Hotel D.C.	277.09
Trump Hotel D.C	275.9
Trump Hotel Panama	273.91
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
Trump Hotel Las Vegas	269.26
BLT Prime D.C	268.4
Trump Hotel Panama	268.0
Trump Hotel D.C	267.7
BLT Prime D.C	267.6
Trump Hotel Las Vegas	262.0
Trump Hotel Las Vegas	262.0
Trump Hotel Las Vegas	262.0
Trump Hotel Las Vegas	262.0
Trump Hotel Las Vegas	262.0
Trump Hotel NY	260.0
Trump Hotel NY	260.0
Trump Hotel Las Vegas	258.76
BLT Prime D.C	256.6
Trump Hotel D.C	253.44
Trump Hotel D.C	250.6
Trump Hotel Las Vegas	250.0
Trump Hotel Panama	249.77
Benjamin Bar & Lounge D.C	249.0
Trump Hotel D.C	248.7
Trump Hotel Las Vegas	248.53
Trump Hotel D.C.	247.9
Trump Hotel Panama	246.01
Trump Hotel D.C	243.66
Trump Hotel D.C	242.4
Trump Hotel D.C.	242.0
Trump Hotel D.C.	242.0
Trump Hotel D.C.	242.0
Trump Hotel D.C.	242.0
Trump Hotel D.C.	242.0
