type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
FEC	Great America Committee	Mar 1, 2018	93252.41	Event	Trump Hotel D.C	FACILITY RENTAL/FOOD & BEVERAGE	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Indiana Republican State Committee, Inc.	Mar 1, 2018	57.4	Food	Trump Hotel D.C	Meals Expense	Trump International Hotel	Washington	DC
FEC	Republican National Committee	Mar 9, 2018	2073.33	Event	Mar-a-Lago Club LLC	VENUE RENTAL AND CATERING	MAR-A-LAGO CLUB LLC	Palm Beach	FL
FEC	Republican National Committee	Mar 9, 2018	120.1	Event	Trump Hotel D.C	CATERING/FOOD AND BEVERAGES	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Republican National Committee	Mar 9, 2018	713.07	Travel	Mar-a-Lago Club LLC	TRAVEL EXPENSES	MAR-A-LAGO CLUB LLC	Palm Beach	FL
FEC	Stewart for Senate Inc	Mar 9, 2018	85.12	Food	Trump Hotel D.C	MEETING EXPENSE - MEALS	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Stewart for Senate Inc	Mar 15, 2018	43.2	Food	Trump Hotel D.C	MEETING EXPENSE-MEALS	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Jet PAC	Mar 16, 2018	708.5	Event	BLT Prime D.C	PAC EVENT CATERING	BLT PRIME	Washington	DC
FEC	NRSC	Mar 18, 2018	85.4	Food	BLT Prime D.C	FOOD/BEVERAGE	BLT PRIME	Washington	DC
FEC	Kansas Leadership PAC	Mar 21, 2018	1113.4	Food	Trump Hotel Chicago	FOOD/BEVERAGE	TRUMP INTERNATIONAL HOTEL	Chicago	IL
FEC	Republican National Committee	Mar 21, 2018	29288.79	Event	Trump Golf Club Miami	VENUE RENTAL AND CATERING	TRUMP NATIONAL DORAL MIAMI	Miami	FL
FEC	Kansas Leadership PAC	Mar 26, 2018	1102.0	Food	Trump Hotel Chicago	FOOD/BEVERAGE	TRUMP INTERNATIONAL HOTEL	Chicago	IL
FEC	Greg Pence for Congress	Mar 28, 2018	7282.48	Event	Trump Hotel D.C	Fundraising Event	Trump International Hotel	Washington	DC
FEC	Republican National Committee	Mar 28, 2018	222071.28	Event	Mar-a-Lago Club LLC	VENUE RENTAL AND CATERING	MAR-A-LAGO CLUB LLC	Palm Beach	FL
FEC	Republican National Committee	Apr 3, 2018	4517.76	Event	Trump Hotel D.C	VENUE RENTAL AND CATERING	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Alabama Republican Party	Apr 9, 2018	854.28	Lodging	Trump Golf Club Miami	DRUMMOND REIMBURSEMENT:TRAVEL:LODGING	TRUMP NATIONAL DORAL MIAMI	Doral	FL
FEC	America First Action, Inc.	Apr 11, 2018	4300.0	Event	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.18545]: EVENT EXPENSE: FACILITY RENTAL	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	Republican National Committee	Apr 11, 2018	8261.1	Event	Trump Hotel D.C	CATERING/FOOD AND BEVERAGES	TRUMP INTERNATIONAL HOTEL	Washington	DC
FEC	Greg Pence for Congress	Apr 13, 2018	1648.0	Lodging	Trump Hotel D.C	Lodging Expense	Trump International Hotel	Washington	DC
FEC	America First Action, Inc.	Apr 16, 2018	3193.23	Event	Mar-a-Lago Club LLC	EVENT EXPENSE: FACILITY RENTAL/CATERING	THE MAR-A-LAGO CLUB	Palm Beach	FL
FEC	Nevada Republican Central Committee	Apr 16, 2018	854.28	Lodging	Trump Golf Club Miami	Lodging/Hotel/Bailor	Trump Doral Miami	Doral	FL
FEC	America First Action, Inc.	Apr 17, 2018	30250.0	Event	Trump Hotel D.C.	EVENT EXPENSE: FACILITY RENTAL AND CATERING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	Republican National Committee	Apr 18, 2018	405.38	Travel	Trump Golf Club Miami	TRAVEL EXPENSES	TRUMP NATIONAL DORAL	Miami	FL
FEC	America First Action, Inc.	Apr 26, 2018	817.15	Lodging	Trump Hotel NY	1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL AND TOWER NEW YORK	New York	NY
FEC	America First Action, Inc.	Apr 26, 2018	396.06	Lodging	Trump Hotel NY	1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL AND TOWER NEW YORK	New York	NY
FEC	America First Action, Inc.	Apr 30, 2018	175.27	Food	BLT Prime D.C	1ST BANKCARD PMT [SB21B.19723]: MEETING EXPENSE	BLT PRIME	Washington	DC
FEC	Republican Party of Kentucky	Apr 30, 2018	686.5	Lodging	Trump Hotel D.C	Lodging (Pd By KS0430)	Trump International Hotel	Washington	DC
FEC	America First Action, Inc.	May 1, 2018	1635.1	Food	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING AND MEALS	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	May 2, 2018	247.9	Lodging	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.19725]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	May 3, 2018	792.12	Lodging	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	May 3, 2018	806.5	Lodging	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.19725]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	May 3, 2018	138.42	Lodging	Trump Hotel D.C.	1ST BANKCARD PMT [SB21B.19725]: TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
FEC	America First Action, Inc.	May 8, 2018	21835.63	Event	Trump Hotel D.C.	EVENT EXPENSE: FACILITY RENTAL AND CATERING	TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.	Washington	DC
government	Department of Commerce	Jan 15, 2017	10.0	Other	Other	Automobile Parking Lots	Trump International	Miami	FL
government	Department of Defense	Jan 20, 2017	48.18	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jan 21, 2017	43.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jan 22, 2017	11.09	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Jan 22, 2017	17.98	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Commerce	Jan 22, 2017	84.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging 	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jan 24, 2017	83.25	Other	Trump Hotel Honolulu	Financial Institution	Trump International Hotel Waikiki	Honolulu	HI
government	Department of State	undefined	7724.72	Other	Trump Golf Resort Scotland	N/A	Trump Turnberry	Turnberry	Scotland
government	Department of Defense	Jan 25, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Jan 25, 2017	158.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	Jan 25, 2017	100.9	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Jan 25, 2017	126.08	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jan 25, 2017	9.01	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Jan 27, 2017	14.2	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Homeland Security	Jan 30, 2017	24999.96	Event	Other	Lease or rental of equipment	Trump Palace Condominium	New York	NY
government	Department of Defense	Feb 2, 2017	14.0	Other	Trump Golf Club Miami	Parking Lots and Garages	Trump National Doral Miami	Miami	FL
government	Township of Bedminster, New Jersey	Feb 2, 2017	4695.33	Event	Trump Golf Club	Lease or rental of conference space or facilities	Trump National Golf Club, Bedminster		
government	Coast Guard	Feb 6, 2017	20.9	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Coast Guard	Feb 6, 2017	16.5	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Coast Guard	Feb 6, 2017	25.0	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Feb 7, 2017	9401.6	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Feb 7, 2017	2600.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Feb 8, 2017	142.88	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 12, 2017	1469.0	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Feb 12, 2017	14.2	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	General Services Administration	Feb 20, 2017	905.76	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	General Services Administration	Feb 20, 2017	22.0	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	General Services Administration	Feb 20, 2017	22.0	Lodging	Trump Hotel D.C.	Hotels-Lodging	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Defense	Feb 20, 2017	2203.5	Lodging	Trump Golf Club Palm Beach	Hotels-Lodging	Trump National Golf Club Palm Beach	Palm Beach	FL
government	Department of Defense	Feb 24, 2017	44.93	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 24, 2017	8.5	Other	Trump Hotel Las Vegas	Gift, Card, Novelty and Souvenir Shops	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
