type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
government	Department of Defense	May 26, 2017	11.65	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	May 27, 2017	71.48	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 27, 2017	65.76	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 31, 2017	237.61	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	92.01	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	May 31, 2017	383.25	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	200.09	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	188.49	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	160.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	249.77	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Defense	May 31, 2017	307.31	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Department of Homeland Security	May 31, 2017	56330.48	Event	Trump Golf Club Miami	Lease or rental of conference space or facilities	Trump National Doral Miami	Miami	FL
government	City of Live Oak, Florida	May 31, 2017	954.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Defense	Jun 1, 2017	3.0	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 1, 2017	19.26	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 1, 2017	23.54	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 1, 2017	29.96	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	366.8	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	316.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	327.1	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	321.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	348.06	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	316.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 2, 2017	273.91	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 3, 2017	18.38	Food	Trump Golf Club D.C	Restaurant	Trump National Golf Club Washington D.C.	Potomac Falls	VA
government	Department of Defense	Jun 3, 2017	5.55	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Jun 6, 2017	1291.32	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 7, 2017	165.82	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	City of Lake Wales, Florida	Jun 7, 2017	795.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Defense	Jun 8, 2017	15.1	Food	Trump Hotel NY	Restaurant	Trump Tower Hotel New York	New York	NY
government	Department of Defense	Jun 8, 2017	140.67	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	141.73	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	18.4	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	141.73	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	115.65	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	86.7	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 11, 2017	148.53	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 12, 2017	11.77	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 13, 2017	316.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 13, 2017	316.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	San Francisco	CA
government	Department of Defense	Jun 13, 2017	14.07	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Jun 14, 2017	31.33	Food	Trump Hotel Panama	Restaurant	Trump International Hotel & Tower Panama	San Francisco	CA
government	Coast Guard	Jun 16, 2017	632.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	Coast Guard	Jun 16, 2017	632.0	Lodging	Trump Hotel Panama	Hotels-Lodging	Trump International Hotel & Tower Panama	Panama City	Panama
government	City of Holmes Beach, Florida	Jun 20, 2017	954.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	General Services Administration	Jun 26, 2017	751.2	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Town of Ocean Ridge, Florida	Jun 27, 2017	795.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Town of Ocean Ridge, Florida	Jun 27, 2017	718.68	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Town of Orchid, Florida	Jul 5, 2017	477.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	City of Daytona Beach Shores	Jul 7, 2017	984.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	City of Daytona Beach Shores	Jul 7, 2017	984.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Commerce	Jul 14, 2017	32.89	Other	Trump Hotel Vancouver	Eating Places, Restaurants	Trump International Hotel & Tower Vancouver	Vancouver	British Columbia
government	Florida Department of Legal Affairs	Jul 27, 2017	318.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Children and Families	Jul 28, 2017	159.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Highway Safety and Motor Vehicles	Jul 31, 2017	803.5	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Rowan University	Jul 31, 2017	4457.44	Food	Trump Golf Club	Restaurant	Trump National Golf Club, Philadelphia		
government	Florida Department of Highway Safety and Motor Vehicles	Jul 31, 2017	803.5	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Borough of Pine Hill, New Jersey	Jul 31, 2017	3096.0	Other	Trump Golf Club	N/A	Trump National Golf Club, Philadelphia		
government	Florida Department of Health	Aug 1, 2017	179.02	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Health	Aug 1, 2017	179.02	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Commerce	Aug 1, 2017	129.25	Lodging	Trump Hotel Las Vegas	Hotels-Lodging 	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of State	Aug 2, 2017	5766.64	Other	Trump Hotel Vancouver	N/A	Trump International Hotel & Tower Vancouver	Vancouver	British Columbia
government	Florida Department of Health	Aug 2, 2017	318.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Corrections	Aug 3, 2017	477.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	City of New York	Aug 12, 2017	450.0	Other	Other	Vehicle towing and storage	Wollman Rink 		
government	City of New York	Aug 12, 2017	2287.5	Other	Other	Programming or services	Wollman Rink 		
government	Florida Department of Business and Professional Regulation	Aug 15, 2017	636.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Commerce	Aug 17, 2017	417.73	Lodging	Trump Hotel Las Vegas	Hotels-Lodging 	Trump International Hotel Las Vegas	Las Vegas	NV
government	Florida International University	Aug 25, 2017	5000.0	Event	Trump Golf Club Miami	Lease or rental of conference space or facilities	Trump National Doral Miami		
government	Florida Department of Environmental Protection	Oct 6, 2017	411.55	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Environmental Protection	Oct 6, 2017	216.05	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Environmental Protection	Oct 6, 2017	216.05	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Florida Department of Environmental Protection	Oct 6, 2017	471.55	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	General Services Administration	Nov 20, 2017	59.5	Food	Trump Hotel D.C.	Restaurant	Trump International Hotel Washington D.C.	Washington	DC
government	Department of Commerce	Jan 9, 2018	79.0	Other	Trump Golf Club L.A.	Eating Places, Restaurants	Trump National Golf Course - Los Angeles	Rancho Palos	CA
government	Union County, New Jersey	Jan 30, 2018	1120.0	Lodging	Trump Golf Club Miami	Hotels-Lodging 	Trump National Doral Miami		
government	Department of Homeland Security	Feb 13, 2018	27546.11	Event	Other	Lease or rental of equipment	Trump Palace Condominium	New York	NY
government	Township of Bedminster, New Jersey	Feb 23, 2018	3577.03	Food	Trump Golf Club	Restaurant	Trump National Golf Club, Bedminster		
government	Department of Commerce	Apr 10, 2018	41.96	Other	Trump Hotel D.C.	In Room Dining Late Night	Trump International Hotel Washington, D.C.	Washington	DC
government	Department of State	undefined	5583.13	Other	Trump Golf Resort Scotland	N/A	Trump Turnberry	Turnberry	Scotland
government	Department of State	undefined	4853.29	Other	Trump Hotel Vancouver	N/A	Trump International Hotel & Tower Vancouver	Vancouver	British Columbia
government	Department of State	undefined	10398.33	Other	Trump Golf Club Doonberg	N/A	Trump International Golf Links and Hotel Ireland	Doonberg	Ireland
government	Department of State	undefined	592.13	Other	Trump Golf Club Doonberg	N/A	Trump International Golf Links and Hotel Ireland	Doonberg	Ireland
government	Department of Defense	Jan 24, 2017	103.25	Other	Trump Hotel Honolulu	Financial Institution	Trump International Hotel Waikiki	Honolulu	HI
